id,pid,feedback_date,rating,feedback
72,PSOEH3ZXRTZJUVXM,7/14/2017,4,This is the best from all the things I purchased from Romwe...... amazing fit and superb quality......worth for the price.....this is best for pairing up with bodysuits.....a perfect high waisted...... satisfied
73,KTAEHE9HAED4VUQB,7/1/2017,3,"Not very good quality, not skinny much."
74,KTAEHE9HAED4VUQB,7/13/2017,5,"Satisfied very, comfortable not very thick, but also not thin, boarded good, came quickly, elastic band gift thank you"
75,SNDEH75ZFZ5REGFH,5/12/2017,4,Jeans good quality.
76,SNDEH75ZFZ5REGFH,4/3/2014,4,Perfect for warm weather because the material is lighter. Fit is good if you like oversized pants.
77,SNDEH75ZFZ5REGFH,4/6/2014,1,"Bad, the fit is weird and the material is like swimsuit material. Seethrough. Don’t love them but they are not too bad"
78,PTYEA6SFGD4X8NAR,4/7/2014,4,So comfortable and they make my butt look good. the band is a little weird when its hugged around your waist or whatever but i made it work. super cute too
79,PTYEA6SFGD4X8NAR,4/7/2014,1,Poor quality
80,PTYEA6SFGD4X8NAR,4/6/2014,5,Amazing pants. Very light and soft. Great fit
81,KTAEHE9KFCMVVSBN,4/6/2014,5,Absolutely in love with this. The material is really good. Colour is exactly the same as shown in the picture. I'm short so I need to get it altered but thats okay. Overall a great purchase.
82,KTAEHE9KFCMVVSBN,4/7/2014,4,So cute and perfect for summer! great quality and stretchy waist
83,KTAEHE9KFCMVVSBN,4/7/2014,2,hole and poor quality come
84,KTAEHE9KFCMVVSBN,4/7/2014,1,"Hello, I definitely don't recommend this seller. Pants are like sport wear, I don't like it at all."
85,KTAEHE9KFCMVVSBN,4/3/2014,3,"not bad pants) quality average, i do not like how they sit me ((fast, seller recommend))"
86,KTAEHE9KFCMVVSBN,4/8/2014,1,synthetic fabric 100%. sent the wrong size. pants not sit. stick to the body. seller send to suggested size smaller if package donot came up... but
87,KTAEHE9KFCMVVSBN,5/2/2014,2,not up to the expectations but okay..
88,KTAEHE9KFCMVVSBN,9/2/2014,2,i dont like tha material.. and its too large
89,KTAEHE9KFCMVVSBN,5/1/2014,4,"I love these pants so much! They&#039;re fleece which is so warm, and they&#039;re high waisted, although they&#039;re a little bit tight around my waist (just so my skin has a mark, not too bad). They fit my leg really well."
90,SKTEC88WSNYJKWY7,5/4/2014,3,goood and stretchy
91,SKTEC88WSNYJKWY7,4/7/2014,3,The colour of the dress was excatly like the picture. It was delivered on time. Loved the packaging. 
92,SKTEC88WSNYJKWY7,9/2/2014,2,The dress arrived really late. It left me no time to try it for any fittings. Really disappointed with the delivery service!
93,SKTEC88WSNYJKWY7,5/2/2014,5,Loved the dress! Couldn't imagine it any better. It was beatiful. Will definitely recommend everyone to shop from here. 
94,SKTEC88WSNYJKWY7,4/3/2014,4,Took awhile to recieve but I am blown away with the quality it is my dream dress!! Thank you so much!
95,SKTEC88WSNYJKWY7,4/3/2014,1,The lace of the dress came out as soon as I wore the dress. It was really embarassing. The stiching of the garment was so untidy. Spoiled my  special occassion and my mood. 
96,SKTEC88WSNYJKWY7,4/3/2014,1,The dress was very uncomfortable. i just can't sit or stand properly in the dress. It is very irritating. Also the delivery took ages.
97,SKTEC88WSNYJKWY7,4/3/2014,5," Package arrived well packed, hadn't smell, wasn't moist, well branquinho, right size, no no defect. very-thank you melinda per perform my dream, have a gown dream!!!"
98,SKTEC88WSNYJKWY7,4/4/2014,4,"Great dress, I never expected quality like this. Very nice details of fabric, quality of shape. The seller had with me great communication and I recemmend the shop."
99,SKTEC88WSNYJKWY7,9/3/2014,5," It looks like the dresses you will find in bridal shops but at a fraction of the cost. It looks expensive and luxurious. Plus service is really amazing, they were very prompt in communicating and sent the dress on time. No wonder this dress gets so many orders. Its my best buy for my wedding."
100,SKTEC88WSNYJKWY7,9/2/2014,3,"Though the colour and fit was perfect, the material is quite delicate and can be easily destroyed."
101,SKTEC88WSNYJKWY7,6/24/2014,3,The length of the dress was short. Could not fit me well. 
102,VANDZY4YZFPEG85T,4/29/2014,4,"elegant dress!!! tailored good, stretch fabric slightly. sleeve with nice embroidery. looks elegant and expensive."
103,VANDZY4YZFPEG85T,4/3/2014,2,"I had to call again and again to ask details about the delivery of the dress. There was no response in the initial times. The process of ordering was in itself very irritating. On the top of it , when the dress arrived, its color looked faded. "
104,VANDZY4YZFPEG85T,4/30/2014,5,"beautiful dress, high quality sewing.From this seller I am buying the third time, the quality is perfect, the models too. All the dresses are well made. I really liked this dress, nicely hugs the body."
105,VANDZY4YZFPEG85T,4/29/2014,4,"Dress is beautiful. fabric medium density, stretch, stretch well. Package was beautiful. loved the packing!"
106,VANDZY4YZFPEG85T,5/2/2014,4,"good contact with the seller. selling customized the dimensions to my requirements. dress compatible with the description, well made. highly recommend! :)"
107,VANDZY4YZFPEG85T,4/30/2014,2,There was no information about the delivery of the dress. Also the quality was not as good as expected. 
108,LJGEB2KMCMMHHFC7,4/4/2014,5,"The detailing on the back is just awesome. Excellent, much better than I expected!"
109,LJGEB2KMCMMHHFC7,4/29/2014,3,"Just like on the picture, beautifully made, feels and looks expensive. The seller lovely, sent the order super fast- I had the dress in a week and it traveled across the world."
110,LJGEB2KMCMMHHFC7,5/1/2014,2,"ven though everything is perfectly fine with the dress, the packaging was very poor, so anything could have happened to the dress. Simce the dress is soo expensive, a good packing was expected which was not done. Disapponted with the packing!"
